,rate
0,4.0
1,4.0
2,5.0
3,5.0
4,4.0
5,5.0
6,4.0
7,5.0
8,5.0
9,4.0
10,4.0
11,3.0
12,5.0
13,5.0
14,5.0
15,4.0
16,5.0
17,4.0
18,5.0
19,4.0
20,5.0
21,4.0
22,5.0
23,5.0
24,5.0
25,5.0
26,5.0
27,4.0
28,5.0
29,5.0
30,5.0
31,5.0
32,5.0
33,5.0
34,5.0
35,5.0
36,5.0
37,5.0
38,5.0
39,4.0
40,5.0
41,5.0
42,3.0
43,5.0
44,5.0
45,5.0
46,5.0
47,5.0
48,5.0
49,4.0
50,5.0
51,5.0
52,4.0
53,5.0
54,3.0
55,5.0
56,4.0
57,5.0
58,5.0
59,5.0
60,5.0
61,4.0
62,5.0
63,5.0
64,4.0
65,5.0
66,5.0
67,3.0
68,4.0
69,5.0
70,5.0
71,5.0
72,2.0
73,4.0
74,4.0
75,5.0
76,4.0
77,5.0
78,4.0
79,5.0
80,5.0
81,3.0
82,5.0
83,5.0
84,5.0
85,4.0
86,5.0
87,4.0
88,5.0
89,3.0
90,4.0
91,4.0
92,5.0
93,5.0
94,5.0
95,5.0
96,5.0
97,5.0
98,5.0
99,5.0
100,4.0
101,4.0
102,4.0
103,5.0
104,5.0
105,5.0
106,5.0
107,4.0
108,4.0
109,4.0
110,5.0
111,4.0
112,5.0
113,5.0
114,4.0
115,5.0
116,5.0
117,5.0
118,4.0
119,4.0
120,5.0
121,5.0
122,5.0
123,5.0
124,5.0
125,4.0
126,4.0
127,4.0
128,4.0
129,4.0
130,5.0
131,4.0
132,5.0
133,5.0
134,5.0
135,5.0
136,3.0
137,5.0
138,5.0
139,5.0
140,5.0
141,4.0
142,4.0
143,4.0
144,4.0
145,5.0
146,5.0
147,4.0
148,5.0
149,5.0
150,5.0
151,5.0
152,4.0
153,4.0
154,3.0
155,5.0
156,5.0
157,3.0
158,5.0
159,4.0
160,4.0
161,4.0
162,4.0
163,5.0
164,5.0
165,5.0
166,4.0
167,4.0
168,5.0
169,4.0
170,5.0
171,4.0
172,5.0
173,3.0
174,5.0
175,5.0
176,3.0
177,5.0
178,5.0
179,4.0
180,5.0
181,4.0
182,5.0
183,4.0
184,5.0
185,5.0
